ID,word,PoS,COCA-All,COCA-Acad,ratio,disp,range,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS
423,illustrate,v,16032,9224,"2,01","0,94",8,1204,863,1713,762,1471,716,1945,467,83,"1,10","1,38","1,33","0,81","1,75","0,73","1,11","0,63","0,09"
424,cycle,n,17110,9171,"1,88","0,87",9,506,330,1032,379,560,663,4316,1053,332,"0,46","0,53","0,81","0,41","0,67","0,68","2,48","1,43","0,35"
425,depression,n,18626,9140,"1,72","0,88",7,593,682,3238,236,123,2156,652,1299,161,"0,54","1,10","2,54","0,25","0,15","2,21","0,38","1,77","0,17"
426,consideration,n,15187,9110,"2,10","0,95",8,1151,951,1542,1457,892,896,1483,650,88,"1,06","1,54","1,21","1,57","1,08","0,92","0,86","0,89","0,09"
427,previously,r,16352,9090,"1,95","0,94",8,1001,848,1707,748,733,726,2005,1158,164,"0,92","1,38","1,35","0,81","0,89","0,75","1,16","1,59","0,17"
428,arise,v,14248,9054,"2,23","0,94",8,943,482,1203,1383,778,1397,1971,780,117,"0,87","0,79","0,95","1,50","0,94","1,45","1,15","1,08","0,12"
429,developing,j,14373,9039,"2,20","0,93",9,1313,970,1104,1196,446,501,2475,819,215,"1,22","1,58","0,88","1,30","0,54","0,52","1,44","1,13","0,23"
430,separate,j,20438,8997,"1,54","0,94",9,1013,686,1623,909,730,972,2158,607,299,"0,95","1,13","1,29","0,99","0,89","1,01","1,27","0,84","0,32"
431,recognition,n,15262,8954,"2,05","0,95",8,1446,817,1272,1076,999,1324,1243,639,138,"1,36","1,35","1,02","1,18","1,23","1,39","0,73","0,89","0,15"
432,mode,n,13278,8943,"2,36","0,91",8,562,473,1277,339,2062,936,2725,494,75,"0,53","0,78","1,02","0,37","2,53","0,98","1,61","0,69","0,08"
433,similarly,r,13104,8941,"2,39","0,95",8,1113,852,1753,1114,1030,896,1500,515,168,"1,05","1,41","1,41","1,22","1,27","0,94","0,89","0,72","0,18"
434,resistance,n,16774,8931,"1,86","0,93",8,1674,299,1279,709,664,609,2132,1485,80,"1,57","0,49","1,03","0,78","0,82","0,64","1,26","2,08","0,09"
435,furthermore,r,11030,8899,"2,83","0,94",8,1121,965,2085,905,777,817,1390,751,88,"1,06","1,60","1,68","1,00","0,96","0,86","0,82","1,05","0,09"
436,diversity,n,15001,8885,"2,07","0,91",8,909,1215,1403,674,619,892,2886,178,109,"0,86","2,02","1,13","0,74","0,77","0,94","1,71","0,25","0,12"
437,practical,j,16605,8867,"1,87","0,95",8,896,978,1228,1105,772,1388,1778,574,148,"0,85","1,63","0,99","1,22","0,96","1,47","1,06","0,81","0,16"
438,anxiety,n,15556,8862,"1,99","0,87",7,347,1488,3483,204,533,1609,209,882,107,"0,33","2,48","2,82","0,23","0,66","1,70","0,12","1,24","0,12"
439,acquire,v,18638,8856,"1,66","0,96",9,1398,977,1498,806,1200,652,1276,380,669,"1,33","1,63","1,21","0,89","1,49","0,69","0,76","0,54","0,72"
440,characterize,v,12592,8768,"2,44","0,94",8,1249,684,1859,809,1328,953,1209,636,41,"1,20","1,15","1,52","0,91","1,66","1,02","0,73","0,91","0,04"
441,differ,v,11981,8759,"2,56","0,93",8,740,1053,2415,543,636,970,1636,710,56,"0,71","1,77","1,98","0,61","0,80","1,04","0,99","1,01","0,06"
442,review,v,18393,8692,"1,65","0,95",9,660,1401,1415,1061,570,517,1664,1171,233,"0,64","2,38","1,17","1,20","0,72","0,56","1,01","1,68","0,26"
443,interpret,v,13207,8685,"2,30","0,94",8,935,912,1697,948,1264,1440,1046,386,57,"0,90","1,55","1,40","1,07","1,60","1,56","0,64","0,55","0,06"
444,creative,j,19116,8655,"1,59","0,92",9,463,1571,850,380,2301,1366,1154,286,284,"0,45","2,68","0,70","0,43","2,92","1,48","0,70","0,41","0,31"
445,limitation,n,12061,8646,"2,51","0,93",8,570,1210,2236,1064,465,709,1361,951,80,"0,55","2,06","1,86","1,21","0,59","0,77","0,83","1,37","0,09"
446,resolution,n,19986,8610,"1,51","0,91",8,1727,251,541,1721,429,685,2693,448,115,"1,68","0,43","0,45","1,96","0,55","0,75","1,65","0,65","0,13"
447,implementation,n,9998,8609,"3,02","0,91",8,839,1674,1036,1176,312,328,2491,713,40,"0,82","2,87","0,86","1,34","0,40","0,36","1,53","1,03","0,04"
448,numerous,j,16521,8550,"1,81","0,94",8,1301,648,1472,809,1025,728,1851,596,120,"1,28","1,12","1,24","0,93","1,32","0,80","1,14","0,87","0,13"
449,significance,n,12295,8540,"2,43","0,94",8,1048,830,1904,530,1398,1283,895,626,26,"1,03","1,43","1,60","0,61","1,80","1,41","0,55","0,92","0,03"
450,revolution,n,18124,8496,"1,64","0,92",8,2330,142,902,1732,839,1012,1173,126,240,"2,30","0,25","0,76","2,00","1,08","1,12","0,73","0,19","0,27"
451,philosophy,n,16659,8494,"1,79","0,92",9,710,770,934,1526,1259,2235,544,310,206,"0,70","1,34","0,79","1,76","1,63","2,47","0,34","0,46","0,23"
452,display,v,18108,8482,"1,64","0,92",9,773,696,1327,380,1401,643,2516,535,211,"0,77","1,21","1,12","0,44","1,81","0,71","1,57","0,79","0,24"
453,professional,n,14795,8458,"2,00","0,91",9,537,1362,2312,403,365,397,1081,1782,219,"0,53","2,38","1,96","0,47","0,47","0,44","0,67","2,63","0,25"
454,publication,n,15306,8447,"1,93","0,94",9,1203,781,1027,751,1463,808,1756,441,217,"1,20","1,36","0,87","0,87","1,90","0,90","1,10","0,65","0,25"
455,variation,n,12343,8445,"2,40","0,90",8,411,691,1497,283,922,450,3104,978,109,"0,41","1,21","1,27","0,33","1,20","0,50","1,94","1,45","0,12"
456,derive,v,11530,8435,"2,56","0,95",8,852,702,1554,716,1271,905,1632,695,108,"0,85","1,23","1,32","0,83","1,66","1,01","1,02","1,03","0,12"
457,alternative,n,18401,8425,"1,60","0,95",9,1033,593,1082,1259,541,835,1889,876,317,"1,03","1,04","0,92","1,47","0,71","0,93","1,18","1,30","0,36"
458,widely,r,17327,8383,"1,69","0,94",9,1171,546,1351,921,772,763,1973,620,266,"1,17","0,96","1,16","1,08","1,01","0,85","1,24","0,92","0,30"
459,permit,v,17668,8351,"1,66","0,93",8,1133,460,920,1959,527,842,1928,411,171,"1,14","0,81","0,79","2,30","0,69","0,95","1,22","0,61","0,20"
460,alternative,j,14204,8342,"2,06","0,95",8,934,958,1543,812,679,774,1616,858,168,"0,94","1,69","1,33","0,96","0,89","0,87","1,02","1,28","0,19"
461,merely,r,19230,8338,"1,52","0,94",9,1047,312,938,1638,1437,1608,924,202,232,"1,05","0,55","0,81","1,93","1,89","1,81","0,58","0,30","0,27"
462,initiative,n,17902,8323,"1,63","0,94",9,1760,860,1007,1526,502,673,1306,510,179,"1,78","1,52","0,87","1,80","0,66","0,76","0,83","0,77","0,21"
463,employment,n,14766,8265,"1,96","0,91",9,1296,1107,2448,1401,270,490,603,409,241,"1,32","1,98","2,12","1,66","0,36","0,56","0,38","0,62","0,28"
464,regard,v,18035,8263,"1,60","0,95",8,1437,540,1406,1048,1049,1358,991,287,147,"1,46","0,96","1,22","1,25","1,39","1,54","0,63","0,43","0,17"
465,estimate,n,14948,8208,"1,92","0,91",8,663,711,1930,613,74,426,2529,800,462,"0,68","1,28","1,69","0,73","0,10","0,49","1,63","1,22","0,54"
466,effectively,r,14328,8203,"2,00","0,95",8,1173,1239,1178,1025,724,635,1430,628,171,"1,20","2,23","1,03","1,23","0,97","0,73","0,92","0,96","0,20"
467,cooperation,n,13664,8125,"2,08","0,90",8,2495,417,792,2197,275,543,1136,210,60,"2,58","0,76","0,70","2,66","0,37","0,63","0,74","0,32","0,07"
468,transform,v,17260,8091,"1,64","0,95",9,1342,374,1152,794,1286,1228,1310,313,292,"1,39","0,68","1,02","0,96","1,75","1,42","0,85","0,48","0,34"
469,absence,n,14630,8064,"1,93","0,95",8,1013,598,1459,979,1192,811,1132,803,77,"1,06","1,09","1,30","1,19","1,62","0,94","0,74","1,24","0,09"
470,imply,v,12815,8064,"2,20","0,94",8,1009,485,1463,857,1450,1204,1268,274,54,"1,05","0,89","1,30","1,04","1,98","1,40","0,83","0,42","0,06"
471,comprehensive,j,12604,8015,"2,23","0,95",8,934,1426,1375,1019,650,527,1196,761,127,"0,98","2,63","1,23","1,25","0,89","0,62","0,79","1,19","0,15"
472,observer,n,14570,7997,"1,92","0,89",8,1144,471,942,749,445,615,3227,276,128,"1,20","0,87","0,84","0,92","0,61","0,72","2,13","0,43","0,15"
473,nevertheless,r,13968,7989,"2,00","0,94",8,1542,432,1106,1018,1218,974,1202,348,149,"1,62","0,80","0,99","1,25","1,67","1,14","0,79","0,54","0,18"
474,testing,n,14946,7978,"1,87","0,91",9,198,1418,1593,414,185,413,1870,1714,173,"0,21","2,62","1,43","0,51","0,25","0,49","1,24","2,68","0,21"
475,link,n,17236,7959,"1,62","0,94",9,1088,540,1260,632,920,647,2014,575,283,"1,15","1,00","1,14","0,78","1,27","0,76","1,34","0,90","0,34"
476,evolution,n,12018,7924,"2,31","0,86",8,693,185,626,593,536,1119,3971,142,59,"0,73","0,34","0,57","0,73","0,74","1,33","2,64","0,22","0,07"
477,intellectual,j,12593,7910,"2,20","0,94",7,1252,1073,841,1528,1075,1288,680,65,108,"1,33","2,00","0,76","1,90","1,49","1,53","0,45","0,10","0,13"
478,signal,n,18231,7885,"1,51","0,84",9,345,152,614,360,303,426,4356,1045,284,"0,37","0,28","0,56","0,45","0,42","0,51","2,92","1,65","0,34"
479,passage,n,17008,7884,"1,62","0,92",8,963,877,890,708,2131,1237,772,243,63,"1,03","1,64","0,81","0,88","2,97","1,47","0,52","0,38","0,08"
480,facilitate,v,9690,7881,"2,85","0,94",8,999,1485,1750,765,510,476,1188,669,39,"1,06","2,78","1,59","0,95","0,71","0,57","0,80","1,06","0,05"
481,discovery,n,16674,7873,"1,65","0,88",9,574,348,981,748,675,695,3389,238,225,"0,61","0,65","0,89","0,93","0,94","0,83","2,27","0,38","0,27"
482,biological,j,14269,7869,"1,93","0,86",8,421,328,834,542,196,849,4081,581,37,"0,45","0,62","0,76","0,68","0,27","1,01","2,74","0,92","0,04"
483,introduction,n,12429,7867,"2,22","0,94",8,896,622,1121,595,1038,589,1635,1279,92,"0,96","1,17","1,02","0,74","1,45","0,70","1,10","2,03","0,11"
484,boundary,n,12890,7865,"2,14","0,93",8,1238,295,1535,1040,927,837,1618,309,66,"1,32","0,55","1,40","1,30","1,29","1,00","1,09","0,49","0,08"
485,substantial,j,14169,7810,"1,93","0,94",9,1153,643,1347,1338,385,501,1612,601,230,"1,24","1,21","1,24","1,68","0,54","0,60","1,09","0,96","0,28"
486,ratio,n,11227,7806,"2,43","0,90",8,464,648,1089,355,99,247,2525,1597,782,"0,50","1,22","1,00","0,45","0,14","0,30","1,71","2,55","0,96"
487,strongly,r,15556,7800,"1,76","0,93",8,823,979,1915,616,477,950,1489,458,93,"0,89","1,85","1,76","0,78","0,67","1,14","1,01","0,73","0,11"
488,theoretical,j,8934,7758,"3,04","0,93",8,819,950,1669,716,993,662,1655,273,21,"0,89","1,81","1,54","0,91","1,41","0,80","1,13","0,44","0,03"
489,gain,n,16946,7755,"1,60","0,94",9,814,806,1004,925,213,374,1080,997,1542,"0,88","1,53","0,93","1,17","0,30","0,45","0,73","1,61","1,90"
490,general,r,14291,7739,"1,90","0,95",8,910,913,1670,674,874,836,1167,548,147,"0,99","1,74","1,55","0,86","1,24","1,01","0,80","0,88","0,18"
491,settlement,n,17431,7714,"1,55","0,88",7,2069,25,2284,1831,313,301,596,81,214,"2,25","0,05","2,12","2,33","0,45","0,37","0,41","0,13","0,26"
492,independence,n,16399,7682,"1,64","0,91",8,2442,371,1342,1537,588,573,522,215,92,"2,67","0,71","1,25","1,96","0,84","0,70","0,36","0,35","0,11"
493,yield,v,13535,7676,"1,99","0,93",9,530,754,1274,469,425,709,2168,636,711,"0,58","1,45","1,19","0,60","0,61","0,87","1,49","1,03","0,88"
494,formation,n,11251,7661,"2,38","0,91",8,1120,307,1167,530,553,858,2431,662,33,"1,23","0,59","1,09","0,68","0,79","1,05","1,67","1,08","0,04"
495,insight,n,12793,7621,"2,09","0,94",9,680,741,1162,490,944,1636,1453,338,177,"0,75","1,43","1,09","0,63","1,36","2,01","1,01","0,55","0,22"
496,territory,n,17219,7593,"1,54","0,90",7,2682,58,1117,1272,520,485,1205,93,161,"2,97","0,11","1,06","1,64","0,75","0,60","0,84","0,15","0,20"
497,conventional,j,14105,7590,"1,88","0,91",9,813,280,823,700,686,541,2671,776,300,"0,90","0,54","0,78","0,91","0,99","0,67","1,86","1,28","0,38"
498,inform,v,17168,7547,"1,54","0,95",8,1169,789,1468,845,951,794,847,557,127,"1,30","1,54","1,40","1,10","1,38","0,99","0,59","0,92","0,16"
499,index,n,13788,7538,"1,91","0,93",9,489,732,1623,339,304,455,1263,1153,1180,"0,54","1,43","1,54","0,44","0,44","0,57","0,88","1,91","1,49"
500,crucial,j,15322,7517,"1,72","0,95",9,1302,442,1045,922,961,960,1211,419,255,"1,45","0,87","1,00","1,20","1,40","1,20","0,85","0,70","0,32"
501,racial,j,16909,7499,"1,55","0,89",8,2089,909,2045,925,491,554,304,160,22,"2,34","1,79","1,96","1,21","0,72","0,69","0,21","0,27","0,03"
502,detect,v,12882,7491,"2,04","0,84",8,192,223,713,211,174,283,4169,1395,131,"0,22","0,44","0,68","0,28","0,26","0,35","2,94","2,33","0,17"
503,poverty,n,16283,7484,"1,61","0,91",8,1444,526,1804,1371,331,1250,395,271,92,"1,62","1,04","1,73","1,80","0,49","1,57","0,28","0,45","0,12"
504,agricultural,j,11331,7473,"2,31","0,87",8,1556,105,1531,732,219,206,2885,151,88,"1,75","0,21","1,47","0,96","0,32","0,26","2,04","0,25","0,11"
505,distinction,n,12092,7455,"2,16","0,93",8,862,370,1248,1074,1378,1599,695,163,66,"0,97","0,73","1,20","1,41","2,03","2,01","0,49","0,27","0,08"
506,relative,j,10940,7440,"2,38","0,93",8,906,489,1576,678,391,541,1835,903,121,"1,02","0,97","1,52","0,89","0,58","0,68","1,30","1,52","0,16"
507,identification,n,10581,7420,"2,46","0,92",8,516,1473,1784,336,975,572,981,749,34,"0,58","2,93","1,72","0,44","1,44","0,72","0,70","1,26","0,04"
508,shift,n,16423,7361,"1,57","0,94",9,1166,400,1139,727,874,851,1577,390,237,"1,33","0,80","1,11","0,97","1,30","1,09","1,13","0,66","0,31"
509,monitor,v,15660,7319,"1,64","0,90",9,503,777,842,602,190,309,2716,1140,240,"0,58","1,57","0,83","0,81","0,29","0,40","1,96","1,94","0,31"
510,domain,n,9346,7319,"2,74","0,91",8,379,1309,1981,486,985,582,1208,337,52,"0,43","2,64","1,94","0,65","1,48","0,75","0,87","0,57","0,07"
511,integration,n,9469,7308,"2,70","0,92",8,1836,966,1192,909,575,431,1085,219,95,"2,11","1,95","1,17","1,22","0,86","0,55","0,78","0,37","0,12"
512,whole,n,16050,7303,"1,59","0,94",8,1150,387,1045,953,1163,1378,799,276,152,"1,32","0,78","1,03","1,28","1,75","1,77","0,58","0,47","0,20"
513,subsequent,j,10491,7281,"2,43","0,95",8,1065,639,1391,679,724,646,1311,753,73,"1,23","1,29","1,37","0,92","1,09","0,83","0,95","1,29","0,10"
514,strategic,j,13522,7274,"1,88","0,90",9,2407,506,518,1520,211,262,947,534,369,"2,78","1,03","0,51","2,05","0,32","0,34","0,69","0,92","0,48"
515,preference,n,11489,7256,"2,21","0,93",8,682,901,1936,884,494,806,1127,345,81,"0,79","1,83","1,91","1,20","0,75","1,04","0,82","0,59","0,11"
516,profession,n,12554,7248,"2,02","0,93",8,507,1297,1831,843,901,468,685,616,100,"0,59","2,64","1,81","1,14","1,37","0,61","0,50","1,06","0,13"
517,apparent,j,14249,7246,"1,78","0,94",9,933,482,1180,724,895,720,1625,534,153,"1,08","0,98","1,17","0,98","1,36","0,93","1,18","0,92","0,20"
518,assign,v,13864,7218,"1,82","0,94",9,738,1160,1476,449,654,612,1341,617,171,"0,86","2,37","1,47","0,61","1,00","0,80","0,98","1,07","0,23"
519,joint,j,16656,7213,"1,52","0,92",9,1262,239,597,1598,180,327,1372,1296,342,"1,47","0,49","0,59","2,18","0,27","0,43","1,00","2,24","0,45"
520,Asian,j,16089,7192,"1,57","0,89",9,2542,536,1638,718,204,409,572,323,250,"2,97","1,10","1,63","0,98","0,31","0,53","0,42","0,56","0,33"
521,exception,n,15217,7150,"1,65","0,95",9,1002,484,1215,1249,610,715,1238,423,214,"1,18","1,00","1,22","1,72","0,94","0,94","0,91","0,74","0,29"
522,dependent,j,10751,7128,"2,32","0,92",8,783,871,2163,587,342,803,948,516,115,"0,92","1,80","2,18","0,81","0,53","1,06","0,70","0,90","0,15"
523,presentation,n,12337,7080,"2,01","0,95",9,584,1127,869,336,1056,688,1379,848,193,"0,69","2,35","0,88","0,47","1,64","0,91","1,03","1,50","0,26"
524,proportion,n,11428,7065,"2,16","0,92",8,689,794,1867,446,301,578,1445,837,108,"0,82","1,66","1,90","0,62","0,47","0,77","1,08","1,48","0,15"
525,universal,j,13674,7031,"1,80","0,94",9,783,458,927,818,921,1580,1040,284,220,"0,94","0,96","0,95","1,14","1,44","2,11","0,78","0,50","0,30"
526,norm,n,10572,7026,"2,33","0,93",8,883,873,1665,971,604,1186,546,212,86,"1,06","1,83","1,70","1,36","0,94","1,58","0,41","0,38","0,12"
527,tendency,n,11259,6999,"2,18","0,94",8,924,534,1501,754,879,1298,735,305,69,"1,11","1,13","1,54","1,06","1,38","1,74","0,55","0,54","0,09"
528,considerable,j,12229,6984,"2,00","0,94",8,1271,580,1363,810,600,609,1239,398,114,"1,53","1,23","1,40","1,14","0,94","0,82","0,94","0,71","0,16"
529,respectively,r,8942,6968,"2,73","0,92",9,405,806,1831,257,310,449,1426,1318,166,"0,49","1,71","1,89","0,36","0,49","0,60","1,08","2,36","0,23"
530,equally,r,15359,6964,"1,59","0,95",9,973,553,1096,803,1012,992,996,348,191,"1,17","1,17","1,13","1,13","1,60","1,34","0,75","0,62","0,26"
531,resolve,v,16212,6955,"1,50","0,94",8,1191,406,770,1283,489,734,1410,536,136,"1,44","0,86","0,79","1,81","0,77","0,99","1,07","0,96","0,19"
532,competitive,j,16005,6948,"1,52","0,91",9,707,393,2389,992,205,367,1046,283,566,"0,85","0,83","2,47","1,40","0,32","0,50","0,79","0,51","0,78"
533,related,j,9969,6945,"2,44","0,93",8,514,1031,1489,545,681,480,1538,541,126,"0,62","2,19","1,54","0,77","1,08","0,65","1,17","0,97","0,17"
534,symbol,n,15552,6944,"1,56","0,92",7,1095,319,1134,339,1640,1364,826,92,135,"1,32","0,68","1,17","0,48","2,59","1,84","0,63","0,17","0,19"
535,consumption,n,11022,6944,"2,21","0,91",8,810,213,1855,558,547,470,1597,782,112,"0,98","0,45","1,92","0,79","0,87","0,64","1,21","1,41","0,15"
536,calculate,v,11375,6941,"2,14","0,91",9,333,719,1248,376,137,332,2247,1198,351,"0,40","1,53","1,29","0,53","0,22","0,45","1,71","2,16","0,48"
537,dominant,j,10714,6931,"2,27","0,93",8,1527,399,1416,716,945,722,892,185,129,"1,85","0,85","1,47","1,01","1,50","0,98","0,68","0,33","0,18"
538,extensive,j,12375,6924,"1,96","0,94",8,860,623,1196,660,604,459,1781,601,140,"1,04","1,33","1,24","0,94","0,96","0,62","1,36","1,08","0,19"
539,barrier,n,14001,6916,"1,73","0,92",9,704,905,1748,817,243,345,1411,596,147,"0,86","1,93","1,81","1,16","0,39","0,47","1,08","1,08","0,20"
540,advanced,j,12636,6915,"1,92","0,90",9,660,795,661,502,519,256,2655,672,195,"0,80","1,70","0,69","0,71","0,82","0,35","2,03","1,21","0,27"
541,motor,n,15400,6890,"1,57","0,86",9,208,272,1459,305,160,192,3245,633,416,"0,25","0,58","1,52","0,43","0,26","0,26","2,49","1,15","0,58"
542,adjustment,n,11139,6879,"2,16","0,92",8,1041,1044,1761,611,158,445,1094,634,91,"1,27","2,24","1,84","0,87","0,25","0,61","0,84","1,15","0,13"
543,shape,v,14893,6871,"1,62","0,94",8,1292,434,1164,745,834,1078,984,245,95,"1,58","0,93","1,22","1,06","1,33","1,47","0,76","0,45","0,13"
544,integrate,v,9813,6866,"2,45","0,94",9,898,999,1097,408,694,598,1667,342,163,"1,10","2,15","1,15","0,58","1,11","0,82","1,28","0,62","0,23"
545,dominate,v,15745,6864,"1,53","0,93",8,1486,218,1089,830,744,614,1481,96,306,"1,82","0,47","1,14","1,19","1,19","0,84","1,14","0,17","0,43"
546,establishment,n,12308,6858,"1,95","0,93",8,1571,317,836,1322,425,920,817,578,72,"1,92","0,68","0,87","1,89","0,68","1,26","0,63","1,05","0,10"
547,entry,n,15681,6842,"1,53","0,91",9,697,591,796,575,764,293,2445,467,214,"0,86","1,27","0,83","0,83","1,23","0,40","1,89","0,85","0,30"
548,visible,j,15722,6815,"1,52","0,89",8,582,198,755,356,936,588,2884,393,123,"0,72","0,43","0,79","0,51","1,51","0,81","2,23","0,72","0,17"
549,stability,n,12044,6794,"1,98","0,92",8,1696,343,1016,1055,220,526,1281,552,105,"2,10","0,74","1,07","1,52","0,36","0,73","0,99","1,01","0,15"
550,efficiency,n,11396,6778,"2,08","0,87",9,450,313,951,804,125,263,3163,468,241,"0,56","0,68","1,01","1,16","0,20","0,36","2,46","0,86","0,34"
551,sequence,n,10852,6768,"2,18","0,88",7,284,640,659,120,1181,486,2843,518,37,"0,35","1,40","0,70","0,17","1,92","0,67","2,22","0,96","0,05"
552,hence,r,9036,6745,"2,61","0,94",8,897,357,1194,875,843,970,1180,350,79,"1,12","0,78","1,27","1,27","1,37","1,35","0,92","0,65","0,11"
553,process,v,12875,6739,"1,83","0,89",9,365,790,636,376,347,437,2922,594,272,"0,45","1,73","0,68","0,55","0,57","0,61","2,29","1,10","0,39"
554,given,j,11532,6735,"2,05","0,94",9,509,646,1144,560,804,676,1744,482,170,"0,63","1,42","1,22","0,82","1,31","0,94","1,37","0,89","0,24"
555,sufficient,j,11000,6716,"2,14","0,95",8,824,623,1007,980,436,680,1474,614,78,"1,03","1,37","1,08","1,43","0,71","0,95","1,16","1,14","0,11"
556,dialogue,n,12761,6692,"1,84","0,91",7,1207,458,743,568,1382,1926,290,88,30,"1,52","1,01","0,80","0,83","2,27","2,70","0,23","0,16","0,04"
557,distinct,j,10396,6653,"2,24","0,94",8,763,428,1310,582,831,1016,1318,330,75,"0,96","0,95","1,41","0,86","1,37","1,43","1,05","0,62","0,11"
558,enterprise,n,14461,6651,"1,61","0,92",9,1438,176,910,1410,467,566,1038,135,511,"1,82","0,39","0,98","2,08","0,77","0,80","0,82","0,25","0,73"
559,transformation,n,10344,6642,"2,25","0,94",8,1305,287,1124,695,1002,1069,851,241,68,"1,65","0,64","1,21","1,03","1,66","1,51","0,68","0,45","0,10"
560,scope,n,10907,6610,"2,12","0,90",8,712,449,628,1010,461,372,2608,303,67,"0,90","1,00","0,68","1,50","0,77","0,53","2,08","0,57","0,10"
561,assert,v,10719,6594,"2,15","0,94",7,1221,394,1031,1090,984,974,725,99,76,"1,56","0,88","1,12","1,62","1,64","1,39","0,58","0,19","0,11"
562,capability,n,11791,6567,"1,95","0,89",9,1071,405,421,933,286,189,2695,400,167,"1,37","0,91","0,46","1,40","0,48","0,27","2,17","0,76","0,24"
563,reflection,n,12921,6520,"1,77","0,93",8,602,916,980,528,1015,1493,740,215,31,"0,78","2,07","1,08","0,80","1,71","2,15","0,60","0,41","0,05"
564,precisely,r,13770,6507,"1,65","0,93",9,739,123,754,872,1457,1278,986,139,159,"0,95","0,28","0,83","1,32","2,46","1,84","0,80","0,27","0,23"
565,electronic,j,15056,6505,"1,51","0,88",9,319,462,566,560,517,247,2909,340,585,"0,41","1,05","0,62","0,85","0,87","0,36","2,36","0,65","0,86"
566,decline,n,12849,6498,"1,77","0,94",9,1250,236,1267,903,409,528,1155,456,294,"1,62","0,54","1,40","1,36","0,69","0,76","0,94","0,88","0,43"
567,distinguish,v,10247,6497,"2,22","0,94",8,609,394,1073,770,1007,1044,1179,337,84,"0,79","0,89","1,18","1,16","1,70","1,51","0,96","0,65","0,12"
568,retain,v,12872,6468,"1,76","0,95",9,983,683,990,794,577,577,1268,348,248,"1,28","1,56","1,10","1,21","0,98","0,84","1,03","0,67","0,37"
569,expansion,n,12932,6454,"1,75","0,91",9,1220,243,1063,874,356,297,1904,160,337,"1,59","0,56","1,18","1,33","0,61","0,43","1,56","0,31","0,50"
570,evolve,v,12335,6448,"1,83","0,89",9,663,350,719,546,499,578,2695,249,149,"0,86","0,80","0,80","0,83","0,85","0,84","2,21","0,48","0,22"
571,incentive,n,13146,6377,"1,70","0,92",9,953,472,1088,1511,125,255,1261,314,398,"1,26","1,09","1,22","2,33","0,22","0,38","1,04","0,61","0,60"
572,survival,n,13548,6372,"1,65","0,93",9,975,175,868,536,402,721,1417,1102,176,"1,29","0,41","0,98","0,83","0,69","1,06","1,17","2,16","0,26"
573,recommendation,n,12816,6348,"1,73","0,94",9,416,1266,985,709,271,347,1138,998,218,"0,55","2,94","1,11","1,10","0,47","0,51","0,95","1,96","0,33"
574,structural,j,8442,6340,"2,63","0,93",8,1202,329,1207,788,682,411,1352,313,56,"1,59","0,77","1,37","1,22","1,18","0,61","1,13","0,62","0,08"
575,possess,v,12321,6327,"1,80","0,95",8,867,684,1083,747,985,825,875,192,69,"1,15","1,60","1,23","1,16","1,71","1,22","0,73","0,38","0,10"
576,encounter,v,12942,6302,"1,71","0,94",8,722,538,1010,336,784,901,1465,445,101,"0,96","1,26","1,15","0,52","1,37","1,34","1,23","0,88","0,15"
577,membership,n,11094,6295,"1,99","0,94",9,1200,478,1125,819,504,766,1021,206,176,"1,60","1,12","1,28","1,28","0,88","1,14","0,86","0,41","0,27"
578,rapidly,r,13883,6283,"1,58","0,91",9,975,253,836,554,277,351,2225,498,314,"1,30","0,59","0,95","0,87","0,48","0,52","1,87","0,99","0,48"
579,adapt,v,12037,6283,"1,83","0,93",8,704,672,1092,392,629,545,1705,416,128,"0,94","1,58","1,25","0,61","1,10","0,81","1,43","0,83","0,19"
580,utility,n,14198,6259,"1,54","0,88",8,270,370,1141,755,110,262,2524,218,609,"0,36","0,87","1,31","1,18","0,19","0,39","2,13","0,43","0,93"
581,initially,r,13121,6255,"1,67","0,95",9,899,546,1066,593,667,479,1242,621,142,"1,21","1,29","1,22","0,93","1,17","0,72","1,05","1,24","0,22"
582,intention,n,14289,6250,"1,53","0,92",8,932,267,1210,763,836,1314,536,287,105,"1,25","0,63","1,39","1,20","1,47","1,97","0,45","0,57","0,16"
583,rapid,j,11166,6238,"1,96","0,92",9,1008,294,960,538,258,333,1884,759,204,"1,36","0,70","1,10","0,85","0,45","0,50","1,59","1,52","0,31"
584,collective,j,10234,6238,"2,13","0,92",8,1338,380,1405,1011,823,606,491,106,78,"1,80","0,90","1,62","1,59","1,45","0,91","0,42","0,21","0,12"
585,reinforce,v,10017,6207,"2,17","0,94",8,1228,653,1191,611,1004,500,653,303,64,"1,66","1,55","1,38","0,97","1,78","0,76","0,56","0,61","0,10"
586,ethical,j,9848,6188,"2,20","0,92",8,313,780,1349,474,702,1457,565,468,80,"0,42","1,86","1,56","0,75","1,25","2,21","0,48","0,94","0,12"
587,exhibit,v,10132,6170,"2,13","0,93",8,469,825,1223,249,874,485,1324,674,47,"0,64","1,97","1,42","0,40","1,56","0,74","1,13","1,36","0,07"
588,ongoing,j,11829,6114,"1,81","0,95",8,818,845,1164,563,591,679,908,440,106,"1,12","2,04","1,37","0,90","1,06","1,04","0,78","0,90","0,17"
