ID,word,PoS,COCA-All,COCA-Acad,ratio,disp,range,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS
36,difference,n,89232,49081,"1,93","0,93",8,3378,7641,13936,2599,3009,5629,7128,5070,691,"0,58","2,30","2,04","0,52","0,67","1,08","0,77","1,29","0,13"
37,analysis,n,59561,48500,"2,85","0,93",8,3147,7073,13038,3214,3018,3621,9060,5946,383,"0,55","2,15","1,93","0,65","0,68","0,70","0,99","1,53","0,08"
38,practice,n,81373,47915,"2,06","0,95",8,4522,6876,11330,4937,5325,5433,4145,4587,760,"0,79","2,12","1,70","1,01","1,22","1,06","0,46","1,20","0,15"
39,society,n,87095,47060,"1,89","0,93",8,10573,2491,8082,6297,4586,6676,6769,1223,363,"1,89","0,78","1,23","1,31","1,07","1,33","0,76","0,32","0,07"
40,thus,r,60363,46287,"2,69","0,95",8,6547,3428,8760,5703,6324,5292,7294,2393,546,"1,19","1,09","1,36","1,21","1,50","1,07","0,83","0,65","0,11"
41,control,n,97795,45690,"1,64","0,93",9,4725,2560,7758,5120,1724,3751,12778,6143,1131,"0,87","0,83","1,22","1,10","0,41","0,77","1,48","1,68","0,24"
42,form,n,83543,45275,"1,90","0,95",8,4824,3228,7315,3917,9582,5986,6695,2886,842,"0,89","1,05","1,16","0,85","2,32","1,24","0,78","0,80","0,18"
43,report,v,95400,44666,"1,64","0,92",8,2836,6543,13891,2247,1001,3507,6573,7182,886,"0,53","2,16","2,23","0,49","0,25","0,74","0,78","2,01","0,19"
44,rate,n,94277,44493,"1,65","0,93",8,3846,3705,9055,3867,528,1968,10024,6807,4693,"0,73","1,23","1,46","0,85","0,13","0,42","1,19","1,91","1,01"
45,significant,j,63691,44415,"2,44","0,93",8,3904,6259,12355,3281,1949,4248,6437,5602,380,"0,74","2,08","2,00","0,73","0,48","0,90","0,76","1,57","0,08"
46,figure,n,80211,44084,"1,92","0,92",8,2775,2188,5633,1670,8165,2034,12753,8012,854,"0,53","0,73","0,92","0,37","2,03","0,43","1,53","2,27","0,18"
47,factor,n,63253,43871,"2,43","0,92",8,3023,7359,12518,2670,1144,3859,6488,6301,509,"0,58","2,47","2,05","0,60","0,29","0,83","0,78","1,79","0,11"
48,interest,n,100940,43498,"1,51","0,95",9,8863,3583,6135,8356,3712,3357,5565,1346,2581,"1,71","1,22","1,01","1,89","0,94","0,72","0,68","0,39","0,57"
49,culture,n,72196,42561,"2,06","0,93",8,8628,3296,8275,3168,8275,6287,2726,1401,505,"1,70","1,14","1,39","0,73","2,14","1,39","0,34","0,41","0,11"
50,need,n,81279,42193,"1,82","0,95",9,4264,7697,8388,3724,3033,4733,5707,3755,892,"0,85","2,69","1,43","0,87","0,79","1,05","0,71","1,11","0,20"
51,base,v,81752,42082,"1,80","0,95",9,4419,5858,7960,4226,3163,3612,7962,3395,1487,"0,88","2,05","1,36","0,99","0,83","0,81","1,00","1,01","0,34"
52,population,n,68979,40902,"2,08","0,92",8,6137,3350,9842,3725,1102,2291,10334,3675,446,"1,26","1,21","1,73","0,89","0,30","0,53","1,33","1,12","0,10"
53,international,j,88771,40746,"1,61","0,91",9,11098,1544,3641,10896,1658,2202,7031,1082,1594,"2,29","0,56","0,64","2,63","0,45","0,51","0,91","0,33","0,37"
54,technology,n,76192,40104,"1,84","0,88",9,2871,4161,3238,3812,1992,1146,18273,1495,3116,"0,60","1,53","0,58","0,93","0,55","0,27","2,40","0,47","0,74"
55,individual,n,59349,39359,"2,32","0,93",8,3263,5564,11357,3039,2709,5317,4390,3300,420,"0,70","2,09","2,07","0,76","0,76","1,27","0,59","1,05","0,10"
56,type,n,73550,38893,"1,85","0,93",8,2100,4523,7594,2108,3481,2946,10232,5137,772,"0,45","1,72","1,40","0,53","0,98","0,71","1,39","1,65","0,19"
57,describe,v,76859,38500,"1,75","0,95",8,4182,4409,7097,2633,5329,4442,6611,3270,527,"0,91","1,69","1,32","0,67","1,52","1,08","0,91","1,06","0,13"
58,indicate,v,56872,38022,"2,34","0,92",8,2397,6967,10912,1687,2174,3003,6772,3877,233,"0,53","2,70","2,06","0,44","0,63","0,74","0,94","1,27","0,06"
59,image,n,78313,38020,"1,70","0,89",8,2723,894,3705,1149,9061,3634,14991,1185,678,"0,60","0,35","0,70","0,30","2,62","0,90","2,08","0,39","0,17"
60,subject,n,65326,37608,"2,02","0,94",8,2762,4288,6889,1944,5826,5563,4220,5869,247,"0,62","1,68","1,31","0,51","1,70","1,39","0,59","1,95","0,06"
61,science,n,67811,37253,"1,92","0,88",8,2398,3595,3103,3218,1966,4400,16640,1446,487,"0,54","1,42","0,60","0,85","0,58","1,11","2,36","0,48","0,12"
62,material,n,66113,37206,"1,97","0,91",8,3643,3576,4011,2158,4504,2397,13913,2333,671,"0,82","1,42","0,77","0,57","1,33","0,60","1,97","0,78","0,17"
63,produce,v,79127,37198,"1,65","0,92",9,3756,1947,4817,3030,4169,2655,12590,2821,1413,"0,85","0,77","0,93","0,80","1,23","0,67","1,79","0,95","0,36"
64,condition,n,68912,36933,"1,88","0,94",8,3961,2755,7521,3183,2244,4220,7854,4771,424,"0,90","1,10","1,46","0,85","0,67","1,07","1,12","1,61","0,11"
65,identify,v,58123,36820,"2,22","0,94",8,2518,6651,7902,2116,3215,2958,6626,4379,455,"0,57","2,67","1,54","0,56","0,96","0,75","0,95","1,48","0,12"
66,knowledge,n,54438,36633,"2,36","0,94",8,4174,7030,6656,2239,3896,3969,6220,2068,381,"0,96","2,83","1,30","0,60","1,17","1,02","0,90","0,70","0,10"
67,support,n,75313,36597,"1,70","0,94",8,5756,4416,9113,3785,1719,2900,5208,3213,487,"1,32","1,78","1,79","1,02","0,52","0,74","0,75","1,10","0,13"
68,performance,n,64841,36344,"1,96","0,92",9,1380,6717,8790,1237,5541,1899,7010,2544,1226,"0,32","2,73","1,73","0,33","1,67","0,49","1,02","0,87","0,32"
69,project,n,84065,36260,"1,51","0,92",9,4716,3553,5335,3711,3463,1823,11014,1523,1122,"1,09","1,45","1,06","1,00","1,05","0,47","1,60","0,52","0,30"
70,response,n,61127,36231,"2,08","0,94",8,2824,5587,8500,2300,2446,4355,5201,4665,353,"0,65","2,28","1,68","0,62","0,74","1,13","0,76","1,61","0,09"
